All year round fruit salad	6	Breakfast@;Morning Tea@;Afternoon Tea	Spring@;Summer@;Autumn@;Winter	banana#_1#_Essential#_1#_whole@;kiwi fruit#_0.5#_Essential#_1#_whole@;melon#_2#_Essential#_2#_cup@;orange juice#_4#_Essential#_2#_medium@;passionfruit#_1.5#_Essential#_3#_whole@;pineapple#_1#_Essential#_0.5#_whole				15 minutes preparation<br>7 serves of fruit in this recipe<br><br>Ingredients<br><br>2 cups melon, peeled and chopped<br>(watermelon, rockmelon or honeydew melon)<br>1 banana, peeled and sliced<br>½ pineapple, cored and cubed<br>1 kiwi fruit, peeled and cubed<br>Pulp of 3 passionfruit<br>Juice of 2 oranges<br><br>Method<br><br>Combine all fruit in a large serving bowl. <br><br>Stir through passionfruit and pour over juice and mix. Serve immediately.<br><br>Serves 6.<br><br>Hint<br><br>Make sure orange juice is poured over any fruits that discolour quickly, eg: bananas, pears and apples.<br><br>Variation<br><br>All fruits can be used in this salad. When in season, use stone fruits, grapes, mangoes and strawberries.	
BBQ Vegetables	6	Lunch@;Dinner		capsicum (red)#_1#_Essential#_1#_medium@;eggplant#_1.5#_Essential#_3#_small@;lemon juice#_1#_Essential#_1#_some@;mushroom (flat)#_1#_Essential#_3#_whole@;oil spray#_1#_Essential#_1#_some@;olive oil#_2#_Essential#_1#_tbsp@;onion (red)#_2#_Essential#_1#_large@;squash#_1.5#_Essential#_3#_small@;tomato#_3#_Essential#_3#_medium@;zucchini#_3#_Essential#_3#_small				BBQ Vegetables<br><br>7 minutes preparation + 10 cooking<br>17 serves of vegies in this recipe<br><br>Ingredients<br><br>1 tablespoon olive oil<br>Juice of 1 lemon<br>1 large red onion, cut into wedges<br>3 flat mushrooms, sliced thick<br>3 baby eggplants, halved lengthways<br>3 baby zucchinis, halved lengthways<br>1 red capsicum, seeded and cut into six<br>3 yellow squash, halved<br>3 firm ripe tomatoes, halved<br>Olive or canola oil spray<br><br>Method<br><br>Combine oil and juice in a small bowl. <br><br>Brush vegetables with this mixture. <br><br>Heat BBQ and lightly spray with oil. <br><br>Barbecue vegetables until tender (about 10 minutes depending on thickness), turning after 5 minutes. <br><br>Serves 6.<br><br>Hint<br><br>Leave root end of onion in tact to avoid falling apart. If a barbecue is unavailable use a heavy pan with grill markings on a gas hotplate or place vegetables under a grill on a foil-covered tray, turning after 5 minutes.	
Banana parcels	4	Breakfast@;Morning Tea@;Afternoon Tea	Summer@;Autumn	banana#_4#_Essential#_4#_whole@;passionfruit#_0.5#_Essential#_1#_whole@;rind of lemon or orange #_0.5#_Essential#_0.5#_medium@;strawberries#_0.8#_Essential#_4#_whole@;yoghurt#_0.62#_Essential#_0.5#_cup				5 minutes preparation + 5 minutes cooking<br>5 serves of fruit in this recipe<br><br>Ingredients<br><br>4 bananas, peeled and sliced in half length ways<br>Pulp of 1 large passionfruit<br>4 large strawberries<br>½ cup low-fat natural yoghurt<br>Rind of ½ orange<br><br>Method<br><br>Preheat barbecue. <br><br>Take 4 squares of aluminium foil and fold to make double thickness. <br><br>Place banana in centre and sprinkle with half of passionfruit pulp. <br><br>Turn in the edges of foil to enclose banana. <br><br>Place on barbecue and cook for 5 minutes. Remove to serving plate. <br><br>Open up parcel, slice a strawberry on top of each parcel. <br><br>Top with remaining passionfruit. <br><br>In the small bowl mix yoghurt and orange rind and serve with parcel. Serves 4.	
Carrot and parsnip muffins	12	Breakfast@;Morning Tea@;Afternoon Tea	Spring@;Autumn@;Winter	carrot#_2#_Essential#_1#_large@;egg#_1#_Essential#_2#_large@;oil#_1#_Essential#_2#_tbsp@;oil spray#_1#_Essential#_1#_some@;paprika or curry powder#_0.25#_Essential#_0.25#_tsp@;parsley or basil#_2#_Essential#_2#_tbsp@;parsnip#_1#_Essential#_1#_medium				15 minutes preparation + 25 minutes cooking<br>3 serves of vegies in this recipe<br><br>Ingredients<br><br>Olive or canola oil spray<br>1 cup wholemeal self-raising flour<br>¾ cup white self-raising flour<br>¼ teaspoon paprika or curry powder<br>1 large carrot, peeled and grated<br>1 parsnip, peeled and grated<br>2 tablespoons grated Parmesan cheese<br>2 tablespoons chopped parsley or basil<br>2 eggs, beaten<br>2 tablespoons oil<br>1 cup low-fat milk<br><br>Method<br><br>Preheat oven to 190°C. <br><br>Lightly spray muffin trays with oil. <br><br>Sift flours into a large bowl, returning husks to the bowl. <br><br>Add paprika and fold in carrot, parsnip, cheese and herbs. <br><br>In a separate bowl mix eggs, oil and milk. <br><br>Pour into the dry ingredients. Lightly combine but do not over-mix. <br><br>Spoon into a greased 12 - muffin tray and bake for 25 minutes or until golden brown and firm to touch. Cool on a wire rack.<br><br>Makes 12.<br><br>Hint<br><br>These muffins freeze well and can be defrosted and microwaved to serve warm.<br><br>Serving suggestion<br><br>Serve with low-fat cheese such as cottage cheese, quark or labneh.	
Chicken and veggie pie	4	Lunch@;Dinner	Spring@;Summer@;Autumn@;Winter	bay leaf#_1#_Essential#_1#_piece@;black pepper#_1#_Essential#_1#_some@;chicken breast (no skin)#_4#_Essential#_4#_small@;cornflour#_2#_Essential#_2#_tsp@;dry sherry or white wine#_2#_Essential#_2#_tbsp@;filo pastry#_6#_Essential#_6#_sheet@;herb (fresh)#_2#_Essential#_2#_tbsp@;milk (low-fat)#_2#_Essential#_2#_tbsp@;non-leafy vegetables#_4.67#_Essential#_700#_g (raw)@;oil spray#_1#_Essential#_1#_some@;stock (chicken)#_2#_Essential#_2#_cup				20 minutes preparation + 30 minutes cooking<br>10 serves of vegies in this recipe<br><br>Ingredients<br><br>4 small chicken breasts, skin removed<br>2 cups chicken stock<br>2 tablespoons dry sherry or white wine (optional)<br>1 bay leaf or bouquet garni sachet<br>700g mixed vegetables of choice (carrots, cauliflower,<br>leeks, cabbage, asparagus, baby corn, peas)<br>2 teaspoons cornflour<br>2 tablespoons low-fat milk<br>2 tablespoons chopped mixed herbs (parsley, thyme,<br>oregano, marjoram) or 1 teaspoon dried mixed herbs<br>Freshly ground or cracked black pepper, to taste<br>6 sheets filo pastry<br>Olive or canola oil spray<br><br>Method<br><br>Preheat oven to 200 °C. <br><br>In a large covered pan, slowly poach chicken breasts in chicken stock, sherry and bay leaf for 15–20 minutes depending on size. <br><br>Cut vegetables into bite-sized pieces and add to the pan. <br><br>Cover and continue to cook for 5 minutes. <br><br>Remove the bay leaf and place chicken and vegetables into a deep pie dish, leaving behind the juices. <br><br>Mix cornflour with milk and add to juices, bringing to the boil to thicken. <br><br>Add herbs and season with pepper. <br><br>Pour sauce over chicken and vegetables. <br><br>Prepare pastry crust by spraying every second sheet of filo with a little oil and layering sheets on top of each other. <br><br>Place over top of dish, scrunching up slightly. <br><br>Spray with a little oil and bake until crisp and brown. Serve immediately.<br><br>Serves 4.<br><br>Variation<br><br>To reduce the fat content, filo may be brushed with beaten egg white instead of oil. This dish may be served as a casserole without the filo pastry.<br><br>Serving suggestion<br><br>Serve with rice or mashed potato.	
Chickpea and couscous salad	8	Lunch@;Dinner	Spring@;Summer@;Autumn@;Winter	capsicum (red)#_1#_Essential#_1#_medium@;chickpea#_5.67#_Essential#_425#_g (cooked)@;couscous#_6#_Essential#_1.5#_cup (raw)@;cumin#_2#_Essential#_2#_tsp@;curry powder#_2#_Essential#_2#_tsp@;oil (unsaturated)#_2#_Essential#_1#_tbsp@;onion (red)#_0.5#_Essential#_0.5#_cup (raw)@;orange juice#_1.2#_Essential#_150#_ml@;parsley#_0.25#_Essential#_0.25#_cup (raw)@;rind of lemon or orange #_1#_Essential#_1#_medium@;shallot/spring onion#_2#_Essential#_2#_stick@;stock (chicken)#_1.5#_Essential#_1.5#_cup@;stock (vegetable)#_1.5#_Essential#_1.5#_cup@;tomato#_3#_Essential#_3#_medium	tomato#_capsicum (red)@;stock (vegetable)#_stock (chicken)@;shallot/spring onion#_onion (red)@;curry powder#_cumin			8 minutes preparation + 6 minutes cooking<br>16 serves of vegies in this recipe<br><br>Ingredients<br><br>1½ cups vegetable or chicken stock<br>2 teaspoons ground cumin or curry powder<br>1½ cups couscous, uncooked<br>425g can chickpeas, drained<br>3 medium tomatoes, finely diced<br>¼ cup parsley, chopped<br>2 spring onions, sliced (include green tops)<br>Rind of 1 lemon or orange, grated<br>Juice of 2 oranges (150 mL)<br>1 tablespoon vegetable oil<br><br>Method<br><br>Bring stock to the boil and add cumin. <br><br>Remove from heat and mix in couscous. <br><br>Cover and allow to stand for 5 minutes until stock is absorbed. <br><br>Mix in remaining ingredients. Serve warm or cold.<br><br>Serves 8.<br><br>Variation<br><br>Substitute tomatoes with 1 red capsicum. Replace spring onions with ½ cup finely chopped red onion.	
Citrus Coleslaw	4	Lunch@;Dinner	Summer@;Autumn@;Winter	cabbage#_3#_Essential#_3#_cup (raw)@;capsicum (green)#_0.5#_Essential#_1#_small@;carrot#_0.25#_Optional#_0.25#_cup (raw)@;grapefruit#_1#_Essential#_1#_whole@;kiwi fruit#_0.5#_Optional#_1#_whole@;lemon juice#_1#_Optional#_1#_some@;mayonnaise#_0.25#_Optional#_0.25#_cup@;mustard (French)#_1#_Optional#_1#_tsp@;mustard (wholegrain)#_1#_Optional#_1#_tsp@;olive oil#_4#_Essential#_2#_tbsp@;orange#_1#_Essential#_1#_whole@;orange juice#_1#_Essential#_1#_tbsp@;shallot/spring onion#_2#_Essential#_2#_stick@;vinegar#_1#_Essential#_1#_tbsp@;yoghurt#_0.31#_Optional#_0.25#_cup	orange#_grapefruit@;mustard (French)#_mustard (wholegrain)			Citrus Coleslaw<br><br>10 minutes preparation<br>6 serves of vegies in this recipe<br><br>Ingredients<br><br>1 orange<br>3 cups cabbage, shredded<br>2 spring onions, sliced<br>1 small green capsicum, seeded and sliced<br><br>Dressing<br><br>1 tablespoon vinegar<br>1 tablespoon orange juice<br>2 tablespoons olive oil<br><br>Method<br><br>Grate the orange rind and set aside. <br><br>Peel and slice orange into segments or rings. <br><br>Combine orange with  cabbage, spring onions and capsicum in a serving bowl. <br><br>Mix dressing ingredients in a separate bowl and add orange rind. Pour over salad and mix well.<br><br>Serves 4.<br><br><br>Variation<br><br>Use pink grapefruit instead of orange. Add sliced kiwi fruit or grated carrot. For a creamy, low-fat dressing, mix ¼ cup low-fat natural yogurt, ¼ cup reduced-fat mayonnaise, juice of ½ lemon and 1 teaspoon wholegrain or French mustard.	
Easy Mince	6	Lunch@;Dinner	Spring@;Summer@;Autumn@;Winter	beef mince#_5.26#_Essential#_500#_g (raw)@;carrot#_1#_Essential#_1#_medium@;celery#_1#_Essential#_1#_stick@;garlic#_1#_Optional#_1#_clove@;oil (unsaturated)#_1#_Essential#_2#_tsp@;onion#_0.5#_Essential#_1#_small@;oyster sauce#_1#_Essential#_1#_tbsp@;stock#_0.75#_Essential#_0.75#_cup@;tomato paste#_1#_Essential#_1#_tbsp@;water#_0.75#_Essential#_0.75#_cup@;worcestershire sauce#_1#_Essential#_1#_tbsp	water#_stock@;worcestershire sauce#_oyster sauce			500g lean beef mince<br>2 tsp unsaturated oil<br>1 small onion, chopped<br>1 medium carrot, diced <br>1 stick celery, diced<br>1 clove garlic, crushed, optional<br>1 tbsp worcestershire sauce<br>1 tbsp no added salt tomato paste<br>3/4 cup water or no added salt stock<br><br>Heat a nonstick pan, add the oil and fry the onion, carrot and celery for a few minutes, then add the garlic if using and fry until fragrant and soft. <br><br>Add the beef mince and brown, breaking up the clumps of meat with the edge of wooden spoon so that the meat cooks in fine pieces. <br><br>Add the water or stock, tomato paste and oyster or worcestershire sauce. <br><br>Bring to the boil, turn the heat to low and simmer, covered for about 20 minutes to let the flavours develop.	
Easy Mince = Beef and sweet potato pie	6	Lunch@;Dinner	Spring@;Autumn@;Winter	beef mince#_5.3#_Essential#_500#_g (raw)@;carrot#_1#_Essential#_1#_medium@;celery#_1#_Essential#_1#_stick@;garlic#_1#_Optional#_1#_clove@;margarine#_1#_Essential#_1#_some@;milk#_1#_Essential#_1#_some@;oil (unsaturated)#_1#_Essential#_2#_tsp@;onion#_0.5#_Essential#_1#_small@;oyster sauce#_1#_Essential#_1#_tbsp@;potato#_12#_Essential#_6#_medium@;stock#_0.75#_Essential#_0.75#_cup@;sweet potato#_6#_Essential#_3#_medium@;tomato paste#_1#_Essential#_1#_tbsp@;water#_0.75#_Essential#_0.75#_cup@;worcestershire sauce#_1#_Essential#_1#_tbsp	water#_stock@;oyster sauce#_worcestershire sauce			500g lean beef mince<br>2 tsp unsaturated oil<br>1 small onion, chopped<br>1 medium carrot, diced <br>1 stick celery, diced<br>1 clove garlic, crushed, optional<br>1 tbsp worcestershire sauce<br>1 tbsp no added salt tomato paste<br>3/4 cup water or no added salt stock<br><br>Heat a nonstick pan, add the oil and fry the onion, carrot and celery for a few minutes, then add the garlic if using and fry until fragrant and soft. <br><br>Add the beef mince and brown, breaking up the clumps of meat with the edge of wooden spoon so that the meat cooks in fine pieces. <br><br>Add the water or stock, tomato paste and oyster or worcestershire sauce. <br><br>Bring to the boil, turn the heat to low and simmer, covered for about 20 minutes to let the flavours develop.<br><br>==============================<br><br>Peel and boil a potato and half a sweet potato. <br><br>Mash with a little unsaturated margarine and hot milk and season to taste. <br><br>Pile a serve of Easy Mince into an ovenproof dish and top with the mash. <br><br>Dot with little pieces of unsaturated margarine and bake until golden on top and hot all the way through.	
Easy Mince = Lunch special	6	Lunch@;Dinner	Spring@;Summer@;Autumn@;Winter	Dijon mustard#_6#_Essential#_6#_tsp@;beef mince#_5.3#_Essential#_500#_g (raw)@;bread#_12#_Essential#_12#_slice@;carrot#_1#_Essential#_1#_medium@;celery#_1#_Essential#_1#_stick@;garlic#_1#_Optional#_1#_clove@;oil (unsaturated)#_1#_Essential#_2#_tsp@;onion#_0.5#_Essential#_1#_small@;oyster sauce#_1#_Essential#_1#_tbsp@;parsley#_1#_Essential#_1#_some@;stock#_0.75#_Essential#_0.75#_cup@;tomato paste#_1#_Essential#_1#_tbsp@;water#_0.75#_Essential#_0.75#_cup@;worcestershire sauce#_1#_Essential#_1#_tbsp	water#_stock@;worcestershire sauce#_oyster sauce			500g lean beef mince<br>2 tsp unsaturated oil<br>1 small onion, chopped<br>1 medium carrot, diced <br>1 stick celery, diced<br>1 clove garlic, crushed, optional<br>1 tbsp worcestershire sauce<br>1 tbsp no added salt tomato paste<br>3/4 cup water or no added salt stock<br><br>Heat a nonstick pan, add the oil and fry the onion, carrot and celery for a few minutes, then add the garlic if using and fry until fragrant and soft. <br><br>Add the beef mince and brown, breaking up the clumps of meat with the edge of wooden spoon so that the meat cooks in fine pieces. <br><br>Add the water or stock, tomato paste and oyster or worcestershire sauce. <br><br>Bring to the boil, turn the heat to low and simmer, covered for about 20 minutes to let the flavours develop.<br><br>===========================<br><br><br>Heat a serve of Easy Mince and add a teaspoon of Dijon mustard. <br><br>Serve on toast and scatter chopped fresh parsley over the top.	
